"client_id","sex","Montant","Fréquence","Récence","Prix_Categ0","Prix_Categ1","Prix_Categ2","Age","TrancheAge"
"c_1070","f",316.68,9,8,144.55,172.12999999999997,0,65,"(54,92]"
"c_1071","m",414.74000000000007,9,8,206.06000000000006,208.68,0,42,"(41,46]"
"c_1072","f",604.4800000000001,16,40,345.82000000000016,258.66,0,35,"(31,37]"
"c_1073","f",57.48,3,172,36.39,21.09,0,60,"(54,92]"
"c_1074","f",1829.0300000000002,51,0,1270.23,558.8000000000002,0,43,"(41,46]"
"c_1075","m",545.2900000000002,18,10,82.83,462.46000000000004,0,50,"(46,54]"
"c_1076","f",165.73000000000002,7,37,82.86,82.86999999999999,0,56,"(54,92]"
"c_1077","f",1053.7800000000004,30,5,661.9600000000003,391.82000000000005,0,36,"(31,37]"
"c_1078","f",318.41,16,4,134.30999999999997,184.10000000000002,0,56,"(54,92]"
"c_1079","f",65.91,3,27,24.520000000000003,41.39,0,38,"(37,41]"
"c_108","f",409.8900000000001,16,1,265.76,144.13,0,40,"(37,41]"
"c_1080","f",313.36,16,1,85.8,227.56,0,52,"(46,54]"
"c_1081","m",727.9800000000001,25,0,125.78999999999999,490.2000000000001,111.99,57,"(54,92]"
"c_1082","m",33.95,1,54,0,33.95,0,79,"(54,92]"
"c_1083","f",402.3000000000001,12,7,305.2300000000001,97.07,0,35,"(31,37]"
"c_1084","f",536.44,21,7,411.8000000000001,124.63999999999999,0,34,"(31,37]"
"c_1085","m",218.08000000000007,9,22,135.48999999999998,82.58999999999999,0,40,"(37,41]"
"c_1086","m",201.90000000000003,9,25,174.20000000000005,27.7,0,40,"(37,41]"
"c_1087","m",579.2100000000002,23,23,385.51000000000005,193.7,0,42,"(41,46]"
"c_1088","f",283.43,5,164,7.99,49.93,225.51,17,"[17,31]"
"c_1089","m",115.17,5,183,46.120000000000005,69.05,0,50,"(46,54]"
"c_109","f",77.24,2,11,0,14.99,62.25,17,"[17,31]"
"c_1090","f",96.94,4,60,29.15,67.78999999999999,0,51,"(46,54]"
"c_1091","f",1608.4699999999998,48,9,992.4600000000004,616.0100000000001,0,42,"(41,46]"
"c_1092","f",184.48000000000002,9,36,139.77,44.71,0,49,"(46,54]"
"c_1093","f",268.39,5,19,36.97,68.58999999999999,162.83,28,"[17,31]"
"c_1094","f",462.12000000000006,5,3,59.190000000000005,105.94999999999999,296.98,17,"[17,31]"
"c_1095","f",701.8200000000002,23,10,474.25000000000017,227.57000000000002,0,30,"[17,31]"
"c_1096","f",1095.53,14,5,73.25999999999999,212.20999999999998,810.06,22,"[17,31]"
"c_1097","m",216.70999999999998,11,11,46.589999999999996,170.12,0,68,"(54,92]"
"c_1098","m",487.3200000000001,15,0,313.12000000000006,174.20000000000002,0,35,"(31,37]"
"c_1099","f",327.7800000000001,10,9,53.599999999999994,274.18,0,65,"(54,92]"
"c_11","f",294.02000000000004,16,46,89.38,204.64000000000001,0,65,"(54,92]"
"c_110","m",1564.0000000000005,49,14,1042.8100000000004,521.19,0,46,"(41,46]"
"c_1100","m",335.44,4,15,30.84,121.68999999999998,182.91,24,"[17,31]"
"c_1101","m",530.6800000000001,8,36,0,106.42,424.26,18,"[17,31]"
"c_1102","f",730.4200000000002,23,18,388.74000000000007,341.68000000000006,0,37,"(31,37]"
"c_1103","m",154.3,3,103,0,33.32,120.97999999999999,18,"[17,31]"
"c_1104","f",1229.71,43,5,890.0000000000003,339.71000000000004,0,47,"(46,54]"
"c_1105","m",292.91,5,47,130.49999999999997,162.41000000000003,0,17,"[17,31]"
"c_1106","f",292.42,10,15,221.83,70.58999999999999,0,32,"(31,37]"
"c_1107","m",233.62,4,144,73.12,97.14,63.36,29,"[17,31]"
"c_1108","m",108.64999999999998,5,81,63.870000000000005,44.78,0,44,"(41,46]"
"c_1109","f",180.77,5,29,94.19999999999997,86.57,0,23,"[17,31]"
"c_111","m",264.7,5,88,31.96,89.55,143.19,28,"[17,31]"
"c_1110","f",1508.1,53,3,1109.7200000000003,398.38000000000005,0,37,"(31,37]"
"c_1111","f",681.87,8,36,55.79,100.83,525.25,17,"[17,31]"
"c_1112","f",520.7900000000001,15,21,301.1500000000001,219.64000000000004,0,34,"(31,37]"
"c_1113","m",195.49,6,7,110.11999999999999,85.36999999999999,0,49,"(46,54]"
"c_1114","f",275.46000000000004,11,31,191.33999999999997,84.11999999999999,0,43,"(41,46]"
"c_1115","f",774.3900000000001,26,7,419.24999999999994,355.14000000000004,0,39,"(37,41]"
"c_1116","f",195.43,2,25,25.759999999999998,52.54,117.13,25,"[17,31]"
"c_1117","f",179.88000000000002,4,15,18.93,91.96,68.99,29,"[17,31]"
"c_1118","m",1658.5600000000006,59,0,1181.65,476.9100000000001,0,45,"(41,46]"
"c_1119","f",198.64000000000001,6,44,104.92999999999999,93.71,0,61,"(54,92]"
"c_112","f",501.36000000000007,11,37,215.25,286.11,0,49,"(46,54]"
"c_1120","m",596.58,17,6,309.1,235.22,52.26,40,"(37,41]"
"c_1121","m",308.93,9,44,92.21999999999998,216.71,0,60,"(54,92]"
"c_1122","m",862.5200000000002,41,3,275.92,586.6,0,61,"(54,92]"
"c_1123","f",595.2199999999999,11,31,264.24,275.99000000000007,54.99,42,"(41,46]"
"c_1124","f",412.62000000000006,20,3,171.20999999999998,241.41000000000003,0,71,"(54,92]"
"c_1125","f",304.44000000000005,7,5,96.93999999999998,95.50999999999999,111.99,49,"(46,54]"
"c_1126","m",639.48,37,6,181.21000000000004,361.53000000000003,96.74,53,"(46,54]"
"c_1127","m",395.64000000000004,6,4,26.73,77.96,290.95,26,"[17,31]"
"c_1128","f",303.01,16,12,121.83999999999999,181.17000000000002,0,58,"(54,92]"
"c_1129","f",185.64,4,113,147.87999999999997,37.76,0,37,"(31,37]"
"c_113","m",398.1000000000001,9,23,200.19000000000005,197.90999999999997,0,47,"(46,54]"
"c_1130","f",673.2,15,3,361.26000000000005,65.96,245.98000000000002,42,"(41,46]"
"c_1131","m",361.91,4,42,0,41.94,319.97,17,"[17,31]"
"c_1132","m",378.88000000000005,12,12,168.48000000000002,210.40000000000003,0,43,"(41,46]"
"c_1133","f",823.7600000000004,33,4,551.3000000000002,272.46,0,45,"(41,46]"
"c_1134","m",118.93,3,154,0,71.94,46.99,17,"[17,31]"
"c_1135","f",124.55999999999997,6,19,51.97,72.58999999999999,0,55,"(54,92]"
"c_1136","f",304.29,16,57,118.44999999999999,185.84000000000003,0,84,"(54,92]"
"c_1137","m",595.2400000000001,29,2,220.38000000000002,374.86,0,78,"(54,92]"
"c_1138","f",940.4600000000002,34,1,704.5400000000001,235.92000000000004,0,44,"(41,46]"
"c_1139","m",939.57,30,17,605.46,334.11,0,40,"(37,41]"
"c_114","f",108.03999999999998,4,7,55.07000000000001,52.97,0,17,"[17,31]"
"c_1140","m",272.93,5,54,23.98,40.98,207.97,18,"[17,31]"
"c_1141","f",38.339999999999996,1,41,21.35,16.99,0,17,"[17,31]"
"c_1142","f",280.53000000000003,8,15,52.75,227.78000000000003,0,70,"(54,92]"
"c_1143","m",633.3700000000001,13,11,16.060000000000002,172.73999999999998,444.57,17,"[17,31]"
"c_1144","m",547.4200000000001,18,4,435.66000000000014,111.75999999999999,0,46,"(41,46]"
"c_1145","m",881.6400000000001,26,10,641.28,179.37,60.99,45,"(41,46]"
"c_1146","m",232.21000000000004,11,0,91.83999999999999,140.37,0,52,"(46,54]"
"c_1147","f",351.94,4,31,0,29.979999999999997,321.96,23,"[17,31]"
"c_1148","m",388.39000000000004,9,23,115.2,205.62,67.57,63,"(54,92]"
"c_1149","f",1699.0999999999997,20,26,0,170.18,1528.9199999999996,21,"[17,31]"
"c_115","f",145.07,6,29,102.88,42.19,0,42,"(41,46]"
"c_1150","m",298.38000000000005,10,25,207.04999999999998,91.33,0,44,"(41,46]"
"c_1151","f",702.45,36,9,200.09000000000003,502.36,0,65,"(54,92]"
"c_1152","m",808.6500000000002,23,15,579.16,229.48999999999998,0,39,"(37,41]"
"c_1153","m",890.37,29,8,466.0800000000002,424.2900000000001,0,43,"(41,46]"
"c_1154","f",482.3100000000001,14,40,301.24,181.07000000000002,0,35,"(31,37]"
"c_1155","f",236.56,10,1,87.53999999999999,149.01999999999998,0,70,"(54,92]"
"c_1156","f",454.3100000000002,31,2,157.25,297.06000000000006,0,63,"(54,92]"
"c_1157","f",33.559999999999995,4,100,14.57,18.99,0,56,"(54,92]"
"c_1158","f",463.67,8,64,0,67.57,396.1,29,"[17,31]"
"c_1159","f",88.86,2,16,0,26.61,62.25,25,"[17,31]"
"c_116","f",675.8299999999999,9,55,74.12,162.45000000000002,439.26,25,"[17,31]"
"c_1160","m",153.66,6,7,115.92,37.739999999999995,0,36,"(31,37]"
"c_1161","m",142.87,6,25,56.339999999999996,86.53,0,50,"(46,54]"
"c_1162","f",239.90000000000003,8,27,89.96,149.94,0,63,"(54,92]"
"c_1163","f",165.64,8,43,48.95,116.69,0,68,"(54,92]"
"c_1164","f",194.86,6,36,74.33000000000001,120.52999999999999,0,71,"(54,92]"
"c_1165","f",354.62,19,7,125.89,228.73000000000002,0,56,"(54,92]"
"c_1166","m",218.60000000000005,11,9,123.37999999999997,95.21999999999998,0,40,"(37,41]"
"c_1167","f",591.2200000000001,18,2,386.4100000000002,204.81,0,44,"(41,46]"
"c_1168","m",599.4300000000001,18,0,379.87000000000006,219.56000000000006,0,32,"(31,37]"
"c_1169","m",697.63,10,1,63.4,82.54,551.6899999999999,24,"[17,31]"
"c_117","f",759.2999999999998,20,12,586.9499999999999,172.34999999999997,0,33,"(31,37]"
"c_1170","m",372.91000000000014,14,34,316.73000000000013,56.17999999999999,0,33,"(31,37]"
"c_1171","m",126.19,5,22,87.94,38.25,0,86,"(54,92]"
"c_1172","f",727.6400000000001,10,15,0,50.58,677.06,27,"[17,31]"
"c_1173","m",977.2100000000002,18,6,14.73,296.32000000000005,666.16,25,"[17,31]"
"c_1174","m",274.68,7,5,61.480000000000004,213.2,0,52,"(46,54]"
"c_1175","f",169.45000000000002,10,6,48.53,120.91999999999999,0,50,"(46,54]"
"c_1176","m",248.70999999999998,5,28,14.44,51.98,182.29,20,"[17,31]"
"c_1177","f",1267.0700000000002,34,2,760.4200000000003,506.65000000000015,0,44,"(41,46]"
"c_1178","m",1184.5900000000004,42,11,844.7400000000001,290.24,49.61,37,"(31,37]"
"c_1179","m",704.8599999999999,11,3,224.29000000000002,174.76000000000002,305.81,19,"[17,31]"
"c_118","f",283.95000000000005,7,14,176.11,107.83999999999999,0,48,"(46,54]"
"c_1180","f",180.10000000000005,9,1,56.150000000000006,123.94999999999999,0,57,"(54,92]"
"c_1181","m",290.67,3,36,0,11.99,278.68,19,"[17,31]"
"c_1182","m",292.28000000000003,9,37,156.57999999999998,135.7,0,37,"(31,37]"
"c_1183","m",1304.8400000000004,53,1,993.2600000000001,311.58000000000004,0,42,"(41,46]"
"c_1184","f",63.96,4,7,24.98,38.98,0,63,"(54,92]"
"c_1185","m",579.59,7,59,15.8,52.72,511.07,17,"[17,31]"
"c_1186","f",1080.49,11,38,0,54.06999999999999,1026.42,25,"[17,31]"
"c_1187","f",231.77999999999997,4,0,0,58.97,172.81,19,"[17,31]"
"c_1188","f",179.06,8,43,44.67,134.39,0,74,"(54,92]"
"c_1189","m",849.4100000000003,26,58,667.5300000000002,181.88,0,36,"(31,37]"
"c_119","f",1320.63,21,22,89.41,209.51000000000002,1021.7100000000002,17,"[17,31]"
"c_1190","m",764.2800000000002,22,20,503.22000000000014,261.06000000000006,0,46,"(41,46]"
"c_1191","f",982.19,16,3,27.96,122.57,831.6600000000001,23,"[17,31]"
"c_1192","f",803.79,10,68,0,61.97,741.8199999999999,25,"[17,31]"
"c_1193","f",744.9500000000002,24,3,373.05000000000007,371.90000000000003,0,31,"[17,31]"
"c_1194","f",982.5300000000001,7,27,0,27.99,954.5400000000001,22,"[17,31]"
"c_1195","m",326.4100000000001,17,19,100.01999999999998,226.39000000000001,0,56,"(54,92]"
"c_1196","m",719.5300000000002,21,22,381.0900000000001,294.45000000000005,43.99,41,"(37,41]"
"c_1197","m",768.2700000000001,15,6,300.48,220.57000000000002,247.22,46,"(41,46]"
"c_1198","f",231.89000000000001,4,2,10.98,61.94,158.97,28,"[17,31]"
"c_1199","f",1092.6400000000003,40,4,617.3800000000002,475.2600000000001,0,31,"[17,31]"
"c_12","f",110.35999999999999,1,93,19.26,28.27,62.83,67,"(54,92]"
"c_120","f",322.46,6,17,94.72,171.75,55.99,23,"[17,31]"
"c_1200","m",1229.44,42,0,861.4300000000001,368.01000000000005,0,42,"(41,46]"
"c_1201","m",154.67999999999998,6,52,116.7,37.98,0,30,"[17,31]"
"c_1202","m",546.62,19,2,296.19000000000005,250.43000000000006,0,43,"(41,46]"
"c_1203","f",576.6600000000001,7,50,0,28.98,547.6800000000001,28,"[17,31]"
"c_1204","f",171.06,5,44,9.87,161.19,0,62,"(54,92]"
"c_1205","f",278.24,4,100,89.27,0,188.96999999999997,29,"[17,31]"
"c_1206","f",118.77999999999997,5,6,8.98,109.8,0,53,"(46,54]"
"c_1207","f",553.7500000000001,25,0,222.37,331.38,0,58,"(54,92]"
"c_1208","m",663.7600000000002,28,12,123.77999999999997,539.98,0,87,"(54,92]"
"c_1209","m",144.79,8,19,26.04,118.75,0,50,"(46,54]"
"c_121","m",117.99000000000001,3,147,44.33,73.66,0,51,"(46,54]"
"c_1210","m",134.01,2,212,0,0,134.01,24,"[17,31]"
"c_1211","m",87.13,5,38,0,87.13,0,58,"(54,92]"
"c_1212","m",773.58,21,8,503.8900000000001,269.69,0,47,"(46,54]"
"c_1213","f",504.81,15,22,155.27,268.55,80.99,82,"(54,92]"
"c_1214","f",585.82,19,25,346.94000000000005,238.88000000000002,0,46,"(41,46]"
"c_1215","f",487.8700000000001,18,22,390.5900000000001,97.28,0,41,"(37,41]"
"c_1216","m",444.0300000000001,6,72,186.13,257.90000000000003,0,68,"(54,92]"
"c_1217","f",275.39,5,10,59.38999999999999,153.17000000000002,62.83,76,"(54,92]"
"c_1218","m",495.8700000000002,12,3,243.46,252.41000000000003,0,45,"(41,46]"
"c_1219","f",53.660000000000004,2,230,53.660000000000004,0,0,64,"(54,92]"
"c_122","m",1045.0100000000002,31,13,531.4700000000001,351.51000000000005,162.03,41,"(37,41]"
"c_1220","f",369.9700000000001,18,10,127.13,242.84000000000003,0,71,"(54,92]"
"c_1221","f",1006.6200000000003,35,47,641.3500000000003,365.27000000000004,0,47,"(46,54]"
"c_1222","f",790.1200000000003,21,0,584.8800000000002,205.24000000000004,0,40,"(37,41]"
"c_1223","m",13.59,1,0,13.59,0,0,58,"(54,92]"
"c_1224","f",313.89000000000004,14,17,48.59,265.30000000000007,0,66,"(54,92]"
"c_1225","f",408.7300000000001,12,3,296.99,111.73999999999998,0,34,"(31,37]"
"c_1226","f",726.21,10,25,0,67.52,658.69,29,"[17,31]"
"c_1227","f",183.84,5,8,45.93,137.91,0,67,"(54,92]"
"c_1228","f",471.74,13,76,252.02000000000004,219.72,0,35,"(31,37]"
"c_1229","f",1142.6400000000003,37,5,785.1900000000002,357.45000000000005,0,47,"(46,54]"
"c_123","f",177.97000000000003,9,10,59.39,118.57999999999998,0,56,"(54,92]"
"c_1230","m",614.6000000000001,11,7,118.07000000000001,196.45,300.08000000000004,28,"[17,31]"
"c_1231","m",1323.3000000000002,15,14,57.84,214.14000000000001,1051.32,18,"[17,31]"
"c_1232","f",19.85,1,97,19.85,0,0,61,"(54,92]"
"c_1233","f",281.87,9,6,110.19,171.67999999999998,0,51,"(46,54]"
"c_1234","f",59.47,3,24,24.98,34.489999999999995,0,70,"(54,92]"
"c_1235","m",248.62000000000006,9,25,204.49,44.129999999999995,0,36,"(31,37]"
"c_1236","m",436.02000000000004,13,0,307.17999999999995,128.84,0,34,"(31,37]"
"c_1237","f",853.6700000000001,8,33,58.96,195.81,598.9,22,"[17,31]"
"c_1238","f",292.48,8,46,91.43999999999998,132.05,68.99,62,"(54,92]"
"c_1239","m",1200.1500000000003,38,0,789.2000000000005,410.9500000000001,0,36,"(31,37]"
"c_124","m",430.5700000000001,10,35,121.04999999999997,100.6,208.92000000000002,28,"[17,31]"
"c_1240","m",1744.6699999999996,20,23,28.979999999999997,280.57000000000005,1435.12,18,"[17,31]"
"c_1241","m",301.87,12,6,51.25,194.83,55.79,64,"(54,92]"
"c_1242","f",323.97,9,11,197.82000000000002,126.14999999999999,0,41,"(37,41]"
"c_1243","m",384.1800000000001,16,12,291.17,93.00999999999999,0,38,"(37,41]"
"c_1244","f",709.8200000000002,8,19,39.480000000000004,81.96,588.3799999999999,29,"[17,31]"
"c_1245","m",373.7200000000001,14,9,214.24000000000004,159.48,0,32,"(31,37]"
"c_1246","m",717.72,10,44,0,131.54000000000002,586.1800000000001,21,"[17,31]"
"c_1247","f",834.6600000000002,29,2,516.44,250.64999999999998,67.57,40,"(37,41]"
"c_1248","f",178.95,3,197,90.94999999999999,88,0,63,"(54,92]"
"c_1249","f",832.2599999999998,43,2,251.30999999999997,511.9600000000001,68.99,62,"(54,92]"
"c_125","m",259.58000000000004,5,49,59.35000000000001,35.25,164.98,19,"[17,31]"
"c_1250","f",959.8300000000002,37,3,648.8100000000002,311.02000000000004,0,42,"(41,46]"
"c_1251","f",268.38000000000005,7,12,148.51,70.26,49.61,32,"(31,37]"
"c_1252","m",1593.2400000000011,51,4,1149.6700000000003,443.5700000000001,0,46,"(41,46]"
"c_1253","f",685.2700000000001,20,1,140.92999999999998,433.36000000000007,110.98,54,"(46,54]"
"c_1254","m",267.93,9,20,136.37,131.55999999999997,0,67,"(54,92]"
"c_1255","m",452.6500000000001,13,17,282.76000000000005,169.88999999999996,0,33,"(31,37]"
"c_1256","f",353.47,6,64,169.69,183.78000000000003,0,55,"(54,92]"
"c_1257","m",471.9600000000001,16,4,230.10000000000008,241.86000000000004,0,44,"(41,46]"
"c_1258","m",438.44000000000005,6,36,49.050000000000004,91.78,297.61,21,"[17,31]"
"c_1259","m",435.18,14,1,284.8,150.38,0,43,"(41,46]"
"c_126","f",161.6,7,38,49.150000000000006,112.44999999999999,0,50,"(46,54]"
"c_1260","m",411.7699999999999,11,27,117.33999999999999,294.43,0,66,"(54,92]"
"c_1261","m",1445.1400000000006,46,16,977.5800000000003,467.56000000000006,0,36,"(31,37]"
"c_1262","f",1265.01,15,9,115.47,227.7,921.84,25,"[17,31]"
"c_1263","f",156.82999999999998,7,17,27.86,128.97,0,57,"(54,92]"
"c_1264","m",325.5600000000001,8,10,150.29,175.27000000000004,0,48,"(46,54]"
"c_1265","m",740.6400000000002,31,1,124.90999999999998,615.73,0,59,"(54,92]"
"c_1266","f",464.63000000000005,16,28,250.94000000000005,213.69000000000003,0,46,"(41,46]"
"c_1267","f",244.69000000000005,10,11,179.12,65.57,0,47,"(46,54]"
"c_1268","f",215.54999999999998,8,5,138.76999999999998,76.78,0,46,"(41,46]"
"c_1269","m",116.97999999999999,1,198,0,0,116.97999999999999,21,"[17,31]"
"c_127","m",412.9300000000001,11,28,157.67999999999998,255.25000000000003,0,33,"(31,37]"
"c_1271","m",265.39000000000004,5,6,82.78000000000002,61.629999999999995,120.97999999999999,24,"[17,31]"
"c_1272","f",426.22,10,16,293.22,133,0,36,"(31,37]"
"c_1273","f",316.82,5,30,102.03999999999999,151.95000000000002,62.83,26,"[17,31]"
"c_1274","f",727.6600000000002,22,14,152.95999999999998,574.7,0,53,"(46,54]"
"c_1275","f",271.03000000000003,10,4,58.370000000000005,212.66000000000003,0,57,"(54,92]"
"c_1276","m",76.33999999999999,5,17,26.689999999999998,49.65,0,56,"(54,92]"
"c_1277","m",150.04,3,28,13.08,66.97,69.99,26,"[17,31]"
"c_1278","m",466.9300000000001,19,0,335.77,131.15999999999997,0,34,"(31,37]"
"c_1279","m",1334.8200000000002,60,5,315.14000000000004,1019.6800000000005,0,57,"(54,92]"
"c_128","f",298.32000000000005,13,41,156.07000000000002,142.24999999999997,0,74,"(54,92]"
"c_1280","m",273.50000000000006,8,25,171.95,101.55,0,37,"(31,37]"
"c_1281","f",306.94,4,50,56.339999999999996,38.98,211.62,26,"[17,31]"
"c_1282","m",822.8400000000001,11,0,22.59,73.6,726.6500000000001,25,"[17,31]"
"c_1283","f",841.17,11,83,6.99,0,834.18,26,"[17,31]"
"c_1284","f",356.15000000000003,6,8,68.19,229.97,57.99,17,"[17,31]"
"c_1285","m",59.56,5,103,34.75,24.81,0,52,"(46,54]"
"c_1286","f",814.19,20,11,450.1500000000001,285.74,78.30000000000001,40,"(37,41]"
"c_1287","f",36.86,4,51,36.86,0,0,59,"(54,92]"
"c_1288","f",287.65000000000003,8,4,172.71,114.93999999999998,0,39,"(37,41]"
