client_id,sex,Montant,Fréquence,Récence,Prix_Categ0,Prix_Categ1,Prix_Categ2,Age
c_1060,f,1115.89,41,3,747.69,368.2,0.0,48
c_1061,m,498.7,11,9,191.2,276.51,30.99,30
c_1062,m,213.69,7,3,152.08,61.61,0.0,35
c_1063,m,1085.37,46,2,196.93,819.45,68.99,82
c_1064,m,736.26,10,40,26.0,164.93,545.33,23
c_1065,m,670.44,11,14,13.77,77.47,579.2,17
c_1066,m,246.01,5,100,111.25,78.97,55.79,20
c_1067,f,684.13,22,42,384.93,299.2,0.0,34
c_1068,m,298.91,9,22,252.85,46.06,0.0,39
c_1069,f,265.44,3,78,0.0,27.46,237.98,23
c_107,f,937.48,31,7,647.88,289.6,0.0,37
c_1070,f,316.68,9,8,144.55,172.13,0.0,65
c_1071,m,414.74,9,8,206.06,208.68,0.0,42
c_1072,f,604.48,16,40,345.82,258.66,0.0,35
c_1073,f,57.48,3,172,36.39,21.09,0.0,60
c_1074,f,1829.03,51,0,1270.23,558.8,0.0,43
c_1075,m,545.29,18,10,82.83,462.46,0.0,50
c_1076,f,165.73,7,37,82.86,82.87,0.0,56
c_1077,f,1053.78,30,5,661.96,391.82,0.0,36
c_1078,f,318.41,16,4,134.31,184.1,0.0,56
c_1079,f,65.91,3,27,24.52,41.39,0.0,38
c_108,f,409.89,16,1,265.76,144.13,0.0,40
c_1080,f,313.36,16,1,85.8,227.56,0.0,52
c_1081,m,727.98,25,0,125.79,490.2,111.99,57
c_1082,m,33.95,1,54,0.0,33.95,0.0,79
c_1083,f,402.3,12,7,305.23,97.07,0.0,35
c_1084,f,536.44,21,7,411.8,124.64,0.0,34
c_1085,m,218.08,9,22,135.49,82.59,0.0,40
c_1086,m,201.9,9,25,174.2,27.7,0.0,40
c_1087,m,579.21,23,23,385.51,193.7,0.0,42
c_1088,f,283.43,5,164,7.99,49.93,225.51,17
c_1089,m,115.17,5,183,46.12,69.05,0.0,50
c_109,f,77.24,2,11,0.0,14.99,62.25,17
c_1090,f,96.94,4,60,29.15,67.79,0.0,51
c_1091,f,1608.47,48,9,992.46,616.01,0.0,42
c_1092,f,184.48,9,36,139.77,44.71,0.0,49
c_1093,f,268.39,5,19,36.97,68.59,162.83,28
c_1094,f,462.12,5,3,59.19,105.95,296.98,17
c_1095,f,701.82,23,10,474.25,227.57,0.0,30
c_1096,f,1095.53,14,5,73.26,212.21,810.06,22
c_1097,m,216.71,11,11,46.59,170.12,0.0,68
c_1098,m,487.32,15,0,313.12,174.2,0.0,35
c_1099,f,327.78,10,9,53.6,274.18,0.0,65
c_11,f,294.02,16,46,89.38,204.64,0.0,65
c_110,m,1564.0,49,14,1042.81,521.19,0.0,46
c_1100,m,335.44,4,15,30.84,121.69,182.91,24
c_1101,m,530.68,8,36,0.0,106.42,424.26,18
c_1102,f,730.42,23,18,388.74,341.68,0.0,37
c_1103,m,154.3,3,103,0.0,33.32,120.98,18
c_1104,f,1229.71,43,5,890.0,339.71,0.0,47
c_1105,m,292.91,5,47,130.5,162.41,0.0,17
c_1106,f,292.42,10,15,221.83,70.59,0.0,32
c_1107,m,233.62,4,144,73.12,97.14,63.36,29
c_1108,m,108.65,5,81,63.87,44.78,0.0,44
c_1109,f,180.77,5,29,94.2,86.57,0.0,23
c_111,m,264.7,5,88,31.96,89.55,143.19,28
c_1110,f,1508.1,53,3,1109.72,398.38,0.0,37
c_1111,f,681.87,8,36,55.79,100.83,525.25,17
c_1112,f,520.79,15,21,301.15,219.64,0.0,34
c_1113,m,195.49,6,7,110.12,85.37,0.0,49
c_1114,f,275.46,11,31,191.34,84.12,0.0,43
c_1115,f,774.39,26,7,419.25,355.14,0.0,39
c_1116,f,195.43,2,25,25.76,52.54,117.13,25
c_1117,f,179.88,4,15,18.93,91.96,68.99,29
c_1118,m,1658.56,59,0,1181.65,476.91,0.0,45
c_1119,f,198.64,6,44,104.93,93.71,0.0,61
c_112,f,501.36,11,37,215.25,286.11,0.0,49
c_1120,m,596.58,17,6,309.1,235.22,52.26,40
c_1121,m,308.93,9,44,92.22,216.71,0.0,60
c_1122,m,862.52,41,3,275.92,586.6,0.0,61
c_1123,f,595.22,11,31,264.24,275.99,54.99,42
c_1124,f,412.62,20,3,171.21,241.41,0.0,71
c_1125,f,304.44,7,5,96.94,95.51,111.99,49
c_1126,m,639.48,37,6,181.21,361.53,96.74,53
c_1127,m,395.64,6,4,26.73,77.96,290.95,26
c_1128,f,303.01,16,12,121.84,181.17,0.0,58
c_1129,f,185.64,4,113,147.88,37.76,0.0,37
c_113,m,398.1,9,23,200.19,197.91,0.0,47
c_1130,f,673.2,15,3,361.26,65.96,245.98,42
c_1131,m,361.91,4,42,0.0,41.94,319.97,17
c_1132,m,378.88,12,12,168.48,210.4,0.0,43
c_1133,f,823.76,33,4,551.3,272.46,0.0,45
c_1134,m,118.93,3,154,0.0,71.94,46.99,17
c_1135,f,124.56,6,19,51.97,72.59,0.0,55
c_1136,f,304.29,16,57,118.45,185.84,0.0,84
c_1137,m,595.24,29,2,220.38,374.86,0.0,78
c_1138,f,940.46,34,1,704.54,235.92,0.0,44
c_1139,m,939.57,30,17,605.46,334.11,0.0,40
c_114,f,108.04,4,7,55.07,52.97,0.0,17
c_1140,m,272.93,5,54,23.98,40.98,207.97,18
c_1141,f,38.34,1,41,21.35,16.99,0.0,17
c_1142,f,280.53,8,15,52.75,227.78,0.0,70
c_1143,m,633.37,13,11,16.06,172.74,444.57,17
c_1144,m,547.42,18,4,435.66,111.76,0.0,46
c_1145,m,881.64,26,10,641.28,179.37,60.99,45
c_1146,m,232.21,11,0,91.84,140.37,0.0,52
c_1147,f,351.94,4,31,0.0,29.98,321.96,23
c_1148,m,388.39,9,23,115.2,205.62,67.57,63
c_1149,f,1699.1,20,26,0.0,170.18,1528.92,21
c_115,f,145.07,6,29,102.88,42.19,0.0,42
c_1150,m,298.38,10,25,207.05,91.33,0.0,44
c_1151,f,702.45,36,9,200.09,502.36,0.0,65
c_1152,m,808.65,23,15,579.16,229.49,0.0,39
c_1153,m,890.37,29,8,466.08,424.29,0.0,43
c_1154,f,482.31,14,40,301.24,181.07,0.0,35
c_1155,f,236.56,10,1,87.54,149.02,0.0,70
c_1156,f,454.31,31,2,157.25,297.06,0.0,63
c_1157,f,33.56,4,100,14.57,18.99,0.0,56
c_1158,f,463.67,8,64,0.0,67.57,396.1,29
c_1159,f,88.86,2,16,0.0,26.61,62.25,25
c_116,f,675.83,9,55,74.12,162.45,439.26,25
c_1160,m,153.66,6,7,115.92,37.74,0.0,36
c_1161,m,142.87,6,25,56.34,86.53,0.0,50
c_1162,f,239.9,8,27,89.96,149.94,0.0,63
c_1163,f,165.64,8,43,48.95,116.69,0.0,68
c_1164,f,194.86,6,36,74.33,120.53,0.0,71
c_1165,f,354.62,19,7,125.89,228.73,0.0,56
c_1166,m,218.6,11,9,123.38,95.22,0.0,40
c_1167,f,591.22,18,2,386.41,204.81,0.0,44
c_1168,m,599.43,18,0,379.87,219.56,0.0,32
c_1169,m,697.63,10,1,63.4,82.54,551.69,24
c_117,f,759.3,20,12,586.95,172.35,0.0,33
c_1170,m,372.91,14,34,316.73,56.18,0.0,33
c_1171,m,126.19,5,22,87.94,38.25,0.0,86
c_1172,f,727.64,10,15,0.0,50.58,677.06,27
c_1173,m,977.21,18,6,14.73,296.32,666.16,25
c_1174,m,274.68,7,5,61.48,213.2,0.0,52
c_1175,f,169.45,10,6,48.53,120.92,0.0,50
c_1176,m,248.71,5,28,14.44,51.98,182.29,20
c_1177,f,1267.07,34,2,760.42,506.65,0.0,44
c_1178,m,1184.59,42,11,844.74,290.24,49.61,37
c_1179,m,704.86,11,3,224.29,174.76,305.81,19
c_118,f,283.95,7,14,176.11,107.84,0.0,48
c_1180,f,180.1,9,1,56.15,123.95,0.0,57
c_1181,m,290.67,3,36,0.0,11.99,278.68,19
c_1182,m,292.28,9,37,156.58,135.7,0.0,37
c_1183,m,1304.84,53,1,993.26,311.58,0.0,42
c_1184,f,63.96,4,7,24.98,38.98,0.0,63
c_1185,m,579.59,7,59,15.8,52.72,511.07,17
c_1186,f,1080.49,11,38,0.0,54.07,1026.42,25
c_1187,f,231.78,4,0,0.0,58.97,172.81,19
c_1188,f,179.06,8,43,44.67,134.39,0.0,74
c_1189,m,849.41,26,58,667.53,181.88,0.0,36
c_119,f,1320.63,21,22,89.41,209.51,1021.71,17
c_1190,m,764.28,22,20,503.22,261.06,0.0,46
c_1191,f,982.19,16,3,27.96,122.57,831.66,23
c_1192,f,803.79,10,68,0.0,61.97,741.82,25
c_1193,f,744.95,24,3,373.05,371.9,0.0,31
c_1194,f,982.53,7,27,0.0,27.99,954.54,22
c_1195,m,326.41,17,19,100.02,226.39,0.0,56
c_1196,m,719.53,21,22,381.09,294.45,43.99,41
c_1197,m,768.27,15,6,300.48,220.57,247.22,46
c_1198,f,231.89,4,2,10.98,61.94,158.97,28
c_1199,f,1092.64,40,4,617.38,475.26,0.0,31
c_12,f,110.36,1,93,19.26,28.27,62.83,67
c_120,f,322.46,6,17,94.72,171.75,55.99,23
c_1200,m,1229.44,42,0,861.43,368.01,0.0,42
c_1201,m,154.68,6,52,116.7,37.98,0.0,30
c_1202,m,546.62,19,2,296.19,250.43,0.0,43
c_1203,f,576.66,7,50,0.0,28.98,547.68,28
c_1204,f,171.06,5,44,9.87,161.19,0.0,62
c_1205,f,278.24,4,100,89.27,0.0,188.97,29
c_1206,f,118.78,5,6,8.98,109.8,0.0,53
c_1207,f,553.75,25,0,222.37,331.38,0.0,58
c_1208,m,663.76,28,12,123.78,539.98,0.0,87
c_1209,m,144.79,8,19,26.04,118.75,0.0,50
c_121,m,117.99,3,147,44.33,73.66,0.0,51
c_1210,m,134.01,2,212,0.0,0.0,134.01,24
c_1211,m,87.13,5,38,0.0,87.13,0.0,58
c_1212,m,773.58,21,8,503.89,269.69,0.0,47
c_1213,f,504.81,15,22,155.27,268.55,80.99,82
c_1214,f,585.82,19,25,346.94,238.88,0.0,46
c_1215,f,487.87,18,22,390.59,97.28,0.0,41
c_1216,m,444.03,6,72,186.13,257.9,0.0,68
c_1217,f,275.39,5,10,59.39,153.17,62.83,76
c_1218,m,495.87,12,3,243.46,252.41,0.0,45
c_1219,f,53.66,2,230,53.66,0.0,0.0,64
c_122,m,1045.01,31,13,531.47,351.51,162.03,41
c_1220,f,369.97,18,10,127.13,242.84,0.0,71
c_1221,f,1006.62,35,47,641.35,365.27,0.0,47
c_1222,f,790.12,21,0,584.88,205.24,0.0,40
c_1223,m,13.59,1,0,13.59,0.0,0.0,58
c_1224,f,313.89,14,17,48.59,265.3,0.0,66
c_1225,f,408.73,12,3,296.99,111.74,0.0,34
c_1226,f,726.21,10,25,0.0,67.52,658.69,29
c_1227,f,183.84,5,8,45.93,137.91,0.0,67
c_1228,f,471.74,13,76,252.02,219.72,0.0,35
c_1229,f,1142.64,37,5,785.19,357.45,0.0,47
c_123,f,177.97,9,10,59.39,118.58,0.0,56
c_1230,m,614.6,11,7,118.07,196.45,300.08,28
c_1231,m,1323.3,15,14,57.84,214.14,1051.32,18
c_1232,f,19.85,1,97,19.85,0.0,0.0,61
c_1233,f,281.87,9,6,110.19,171.68,0.0,51
c_1234,f,59.47,3,24,24.98,34.49,0.0,70
c_1235,m,248.62,9,25,204.49,44.13,0.0,36
c_1236,m,436.02,13,0,307.18,128.84,0.0,34
c_1237,f,853.67,8,33,58.96,195.81,598.9,22
c_1238,f,292.48,8,46,91.44,132.05,68.99,62
c_1239,m,1200.15,38,0,789.2,410.95,0.0,36
c_124,m,430.57,10,35,121.05,100.6,208.92,28
c_1240,m,1744.67,20,23,28.98,280.57,1435.12,18
c_1241,m,301.87,12,6,51.25,194.83,55.79,64
c_1242,f,323.97,9,11,197.82,126.15,0.0,41
c_1243,m,384.18,16,12,291.17,93.01,0.0,38
c_1244,f,709.82,8,19,39.48,81.96,588.38,29
c_1245,m,373.72,14,9,214.24,159.48,0.0,32
c_1246,m,717.72,10,44,0.0,131.54,586.18,21
c_1247,f,834.66,29,2,516.44,250.65,67.57,40
c_1248,f,178.95,3,197,90.95,88.0,0.0,63
c_1249,f,832.26,43,2,251.31,511.96,68.99,62
c_125,m,259.58,5,49,59.35,35.25,164.98,19
c_1250,f,959.83,37,3,648.81,311.02,0.0,42
c_1251,f,268.38,7,12,148.51,70.26,49.61,32
c_1252,m,1593.24,51,4,1149.67,443.57,0.0,46
c_1253,f,685.27,20,1,140.93,433.36,110.98,54
c_1254,m,267.93,9,20,136.37,131.56,0.0,67
c_1255,m,452.65,13,17,282.76,169.89,0.0,33
c_1256,f,353.47,6,64,169.69,183.78,0.0,55
c_1257,m,471.96,16,4,230.1,241.86,0.0,44
c_1258,m,438.44,6,36,49.05,91.78,297.61,21
c_1259,m,435.18,14,1,284.8,150.38,0.0,43
c_126,f,161.6,7,38,49.15,112.45,0.0,50
c_1260,m,411.77,11,27,117.34,294.43,0.0,66
c_1261,m,1445.14,46,16,977.58,467.56,0.0,36
c_1262,f,1265.01,15,9,115.47,227.7,921.84,25
c_1263,f,156.83,7,17,27.86,128.97,0.0,57
c_1264,m,325.56,8,10,150.29,175.27,0.0,48
c_1265,m,740.64,31,1,124.91,615.73,0.0,59
c_1266,f,464.63,16,28,250.94,213.69,0.0,46
c_1267,f,244.69,10,11,179.12,65.57,0.0,47
c_1268,f,215.55,8,5,138.77,76.78,0.0,46
c_1269,m,116.98,1,198,0.0,0.0,116.98,21
c_127,m,412.93,11,28,157.68,255.25,0.0,33
c_1271,m,265.39,5,6,82.78,61.63,120.98,24
c_1272,f,426.22,10,16,293.22,133.0,0.0,36
c_1273,f,316.82,5,30,102.04,151.95,62.83,26
c_1274,f,727.66,22,14,152.96,574.7,0.0,53
c_1275,f,271.03,10,4,58.37,212.66,0.0,57
c_1276,m,76.34,5,17,26.69,49.65,0.0,56
c_1277,m,150.04,3,28,13.08,66.97,69.99,26
c_1278,m,466.93,19,0,335.77,131.16,0.0,34
c_1279,m,1334.82,60,5,315.14,1019.68,0.0,57
c_128,f,298.32,13,41,156.07,142.25,0.0,74
c_1280,m,273.5,8,25,171.95,101.55,0.0,37
c_1281,f,306.94,4,50,56.34,38.98,211.62,26
c_1282,m,822.84,11,0,22.59,73.6,726.65,25
c_1283,f,841.17,11,83,6.99,0.0,834.18,26
c_1284,f,356.15,6,8,68.19,229.97,57.99,17
c_1285,m,59.56,5,103,34.75,24.81,0.0,52
c_1286,f,814.19,20,11,450.15,285.74,78.3,40
c_1287,f,36.86,4,51,36.86,0.0,0.0,59
c_1288,f,287.65,8,4,172.71,114.94,0.0,39
c_1289,f,225.39,4,100,15.62,40.18,169.59,28
c_129,m,772.58,33,3,340.07,364.94,67.57,62
c_1290,f,702.87,9,47,99.69,58.46,544.72,24
c_1291,m,586.06,31,3,170.43,415.63,0.0,71
c_1292,m,228.78,10,14,127.56,101.22,0.0,39
c_1293,m,99.39,5,50,16.98,82.41,0.0,68
c_1294,f,636.09,25,4,146.76,489.33,0.0,62
c_1295,m,453.83,12,44,292.23,91.61,69.99,31
c_1296,m,505.02,18,12,318.18,186.84,0.0,41
c_1297,f,196.97,3,244,0.0,0.0,196.97,20
c_1298,f,555.31,26,14,180.9,374.41,0.0,57
c_1299,f,121.13,5,8,98.14,22.99,0.0,46
c_13,f,1069.18,32,6,754.1,315.08,0.0,39
c_130,m,433.15,6,13,0.0,162.64,270.51,17
c_1300,f,1117.76,18,28,69.77,171.83,876.16,27
c_1301,m,404.45,8,4,60.26,131.64,212.55,20
c_1302,m,429.59,6,104,0.0,93.45,336.14,29
c_1303,m,356.17,7,25,129.74,226.43,0.0,34
c_1304,m,309.37,4,92,0.0,42.55,266.82,17
c_1305,m,741.36,8,47,0.0,53.97,687.39,17
c_1306,f,736.87,32,4,212.88,490.0,33.99,72
c_1307,f,325.59,12,4,86.52,239.07,0.0,68
c_1308,f,333.21,11,6,124.41,167.49,41.31,68
c_1309,f,148.34,6,55,6.08,142.26,0.0,56
c_131,m,1746.55,57,21,1079.23,667.32,0.0,40
c_1310,f,449.88,13,31,262.53,187.35,0.0,43
c_1311,m,487.12,10,11,221.87,119.26,145.99,36
c_1312,f,188.67,8,17,81.97,65.39,41.31,54
c_1313,f,259.82,18,1,71.05,188.77,0.0,52
c_1314,m,1026.46,34,3,593.48,432.98,0.0,48
c_1315,m,371.8,17,24,135.14,236.66,0.0,50
c_1316,f,98.83,3,33,43.24,55.59,0.0,61
c_1317,m,71.85,2,73,52.86,18.99,0.0,17
c_1318,f,999.21,30,3,666.97,332.24,0.0,34
c_1319,m,949.54,39,9,669.87,279.67,0.0,33
c_132,f,313.56,3,193,0.0,10.17,303.39,26
c_1320,f,608.59,10,0,74.25,123.99,410.35,29
c_1321,f,533.49,16,9,87.64,445.85,0.0,58
c_1322,m,127.69,7,30,48.35,79.34,0.0,69
c_1323,f,53.81,3,143,53.81,0.0,0.0,44
c_1324,f,264.85,4,87,0.0,15.99,248.86,22
c_1325,m,123.37,5,25,21.5,101.87,0.0,74
c_1326,f,1088.39,50,9,312.19,708.63,67.57,63
c_1327,f,493.31,14,24,98.99,290.4,103.92,72
c_1328,m,160.75,4,126,113.98,46.77,0.0,41
c_1329,m,133.53,2,203,64.11,69.42,0.0,24
c_133,m,175.63,4,21,0.0,13.79,161.84,22
c_1330,f,173.22,4,5,90.18,83.04,0.0,46
c_1331,f,338.91,3,112,0.0,16.65,322.26,20
c_1332,m,896.08,34,5,604.61,291.47,0.0,38
c_1333,f,488.69,24,6,119.31,369.38,0.0,65
c_1334,m,354.3,12,9,276.4,77.9,0.0,43
c_1335,f,444.94,6,175,0.0,17.99,426.95,21
c_1336,m,378.89,13,19,84.06,294.83,0.0,63
c_1337,m,194.49,10,64,109.9,84.59,0.0,39
c_1338,f,1273.08,41,9,882.69,390.39,0.0,34
c_1339,f,163.88,5,47,0.0,96.31,67.57,17
c_134,m,691.8,23,26,285.4,406.4,0.0,67
c_1340,m,679.68,7,56,47.28,127.95,504.45,19
c_1341,f,148.26,4,23,45.21,61.74,41.31,50
c_1342,f,303.25,10,6,198.24,105.01,0.0,41
c_1343,f,1532.14,50,3,979.24,552.9,0.0,30
c_1344,f,48.22,3,20,0.0,48.22,0.0,75
c_1345,m,849.76,26,4,606.92,242.84,0.0,48
c_1346,m,335.18,11,10,284.11,51.07,0.0,32
c_1347,m,1437.78,51,0,971.76,466.02,0.0,38
c_1348,f,148.41,2,277,63.68,84.73,0.0,24
c_1349,f,57.13,2,169,57.13,0.0,0.0,42
c_135,m,225.94,7,10,168.05,57.89,0.0,47
c_1350,m,230.99,10,5,50.53,180.46,0.0,77
c_1351,m,310.26,8,0,83.5,226.76,0.0,75
c_1352,f,357.62,12,59,216.73,140.89,0.0,45
c_1353,m,355.83,7,5,0.0,53.68,302.15,24
c_1354,m,927.02,11,25,19.99,255.16,651.87,27
c_1355,m,402.05,9,24,147.43,206.71,47.91,63
c_1356,f,177.87,8,9,59.69,118.18,0.0,80
c_1357,f,133.34,5,48,59.84,73.5,0.0,45
c_1358,f,619.68,10,15,61.24,87.7,470.74,17
c_1359,f,207.05,9,50,165.07,41.98,0.0,39
c_136,f,106.1,6,3,22.99,83.11,0.0,56
c_1360,f,574.45,26,0,154.9,367.29,52.26,87
c_1361,f,392.53,12,38,223.16,169.37,0.0,39
c_1362,m,80.58,2,11,80.58,0.0,0.0,39
c_1363,m,108.7,4,44,59.92,48.78,0.0,44
c_1364,f,622.12,16,29,396.53,78.18,147.41,33
c_1365,m,1004.15,33,5,670.99,333.16,0.0,38
c_1366,m,56.14,1,216,23.08,33.06,0.0,25
c_1367,f,1664.53,51,2,939.93,724.6,0.0,37
c_1368,m,1826.58,62,0,1211.77,614.81,0.0,39
c_1369,f,477.82,22,1,125.6,352.22,0.0,57
c_137,f,359.02,7,45,0.0,102.22,256.8,28
c_1370,f,629.78,22,18,421.51,208.27,0.0,41
c_1371,f,1472.27,43,6,860.17,612.1,0.0,35
c_1372,f,121.03,5,41,39.62,81.41,0.0,61
c_1373,m,145.3,4,56,130.1,15.2,0.0,34
c_1374,m,134.42,4,201,64.27,70.15,0.0,66
c_1375,m,76.06,3,264,0.0,76.06,0.0,76
c_1376,f,166.11,5,117,3.99,162.12,0.0,72
c_1377,m,1551.2,50,3,1038.23,512.97,0.0,35
c_1378,f,1089.87,39,1,904.43,185.44,0.0,38
c_1379,m,585.73,31,10,242.76,342.97,0.0,57
c_138,m,415.76,11,43,269.27,146.49,0.0,49
c_1380,f,371.6,9,54,183.39,120.22,67.99,49
c_1381,f,964.38,33,1,640.44,323.94,0.0,39
c_1382,f,1162.97,42,6,670.78,492.19,0.0,46
c_1383,f,555.19,7,58,10.99,147.28,396.92,17
c_1384,m,826.61,28,0,502.43,324.18,0.0,47
c_1385,f,1008.7,12,4,0.0,89.95,918.75,25
c_1386,m,665.58,33,7,226.99,438.59,0.0,64
c_1387,f,620.87,12,5,109.93,388.69,122.25,64
c_1388,m,519.78,24,0,122.22,397.56,0.0,51
c_1389,f,594.39,23,13,136.76,457.63,0.0,66
c_139,f,1130.06,15,1,65.24,280.08,784.74,23
c_1390,m,433.74,15,2,86.99,276.76,69.99,54
c_1391,m,852.91,30,6,647.64,205.27,0.0,30
c_1392,m,329.96,6,8,83.12,125.45,121.39,17
c_1393,f,557.03,12,55,148.73,175.93,232.37,26
c_1394,m,335.11,11,4,112.12,160.16,62.83,46
c_1395,m,485.79,7,86,0.0,65.97,419.82,17
c_1396,m,1123.61,35,1,744.86,315.92,62.83,48
c_1397,f,374.71,15,3,239.78,134.93,0.0,49
c_1398,m,197.25,5,71,40.48,38.79,117.98,28
c_1399,f,1511.9,18,7,73.16,253.53,1185.21,26
c_14,f,108.63,7,86,42.18,66.45,0.0,50
c_140,m,393.41,15,38,242.18,151.23,0.0,41
c_1400,m,672.66,9,39,0.0,46.13,626.53,20
c_1401,f,539.47,23,12,345.63,193.84,0.0,46
c_1402,f,115.92,5,77,27.54,88.38,0.0,55
c_1403,f,540.78,17,4,298.59,242.19,0.0,43
c_1404,f,119.63,6,21,22.02,97.61,0.0,51
c_1405,f,1082.02,35,2,723.4,358.62,0.0,40
c_1406,f,132.14,6,3,62.4,69.74,0.0,50
c_1407,f,114.9,4,5,45.1,69.8,0.0,65
c_1408,m,21.38,2,198,4.68,16.7,0.0,81
c_1409,m,145.89,7,43,122.06,23.83,0.0,32
c_141,f,370.26,13,81,256.15,114.11,0.0,41
c_1410,m,1396.38,57,0,875.02,453.79,67.57,33
c_1411,m,316.81,7,64,131.34,185.47,0.0,38
c_1412,f,101.98,1,143,0.0,0.0,101.98,28
c_1413,m,2058.93,64,1,1289.7,769.23,0.0,41
c_1414,m,1011.32,16,9,33.01,235.65,742.66,17
c_1415,m,590.68,4,38,0.0,61.97,528.71,28
c_1416,f,360.07,7,38,40.59,101.87,217.61,21
c_1417,m,163.3,3,103,0.0,38.52,124.78,19
c_1418,f,610.26,5,87,0.0,62.99,547.27,17
c_1419,m,365.0,7,29,0.0,64.62,300.38,18
c_142,m,303.66,8,106,227.06,76.6,0.0,35
c_1420,m,328.47,5,134,0.0,126.57,201.9,17
c_1421,f,236.88,7,56,201.9,34.98,0.0,43
c_1422,f,1376.37,47,4,925.27,451.1,0.0,41
c_1423,m,804.79,12,9,42.73,177.99,584.07,29
c_1424,m,587.28,17,2,332.26,185.03,69.99,30
c_1425,m,821.3,10,5,85.27,40.64,695.39,23
c_1426,f,138.53,3,44,93.35,45.18,0.0,33
c_1427,f,407.35,13,15,217.76,189.59,0.0,42
c_1428,f,608.58,20,13,360.27,248.31,0.0,38
c_1429,f,743.3,26,3,600.68,142.62,0.0,36
